epoch,acc,iou,loss,lr,precision_2,recall_2,val_acc,val_iou,val_loss,val_precision_2,val_recall_2
0,0.8074762225151062,0.027656255289912224,0.5239618420600891,1e-04,0.06933749467134476,0.7569935917854309,0.974560558795929,0.013119270093739033,0.65065598487854,0.017569545656442642,0.013318534940481186
1,0.9768430590629578,0.05139189958572388,0.28164759278297424,1e-04,0.4655333161354065,0.8299869894981384,0.9853352904319763,0.013515083119273186,0.5791677832603455,0.0,0.0
2,0.9927381277084351,0.09348300099372864,0.14255264401435852,1e-04,0.8986571431159973,0.8071645498275757,0.9853352904319763,0.014310451224446297,0.4902699291706085,0.0,0.0
3,0.9937489628791809,0.12376295030117035,0.10204813629388809,1e-04,0.9463843703269958,0.8103663921356201,0.9853352904319763,0.01505047082901001,0.40493252873420715,0.0,0.0
4,0.9941476583480835,0.1405613124370575,0.08857624977827072,1e-04,0.958260715007782,0.8207665085792542,0.9853352904319763,0.015578189864754677,0.3382798433303833,0.0,0.0
5,0.994339108467102,0.14872479438781738,0.08181071281433105,1e-04,0.9708645939826965,0.8158553838729858,0.9853352904319763,0.016003601253032684,0.29668617248535156,0.0,0.0
6,0.9944765567779541,0.15736335515975952,0.07727271318435669,1e-04,0.9701627492904663,0.8266165852546692,0.9853352904319763,0.016689056530594826,0.27377620339393616,0.0,0.0
7,0.9944497346878052,0.1632673740386963,0.07388722151517868,1e-04,0.9668840765953064,0.8315277695655823,0.9853352904319763,0.017738651484251022,0.2627391815185547,0.0,0.0
8,0.9943790435791016,0.16864624619483948,0.07117751240730286,1e-04,0.962834894657135,0.8313832879066467,0.9853352904319763,0.017619304358959198,0.2322806715965271,0.0,0.0
9,0.9943676590919495,0.1722143292427063,0.06860103458166122,1e-04,0.9657686352729797,0.825918436050415,0.9853352904319763,0.016043152660131454,0.18614496290683746,0.0,0.0
10,0.994163453578949,0.17837686836719513,0.06680558621883392,1e-04,0.9502540826797485,0.837425947189331,0.9853352904319763,0.014308548532426357,0.15567636489868164,0.0,0.0
11,0.994337797164917,0.18358907103538513,0.06435234099626541,1e-04,0.9556702971458435,0.8423371315002441,0.9853352904319763,0.013221859000623226,0.13817772269248962,0.0,0.0
12,0.9944387674331665,0.1899513155221939,0.06213722005486488,1e-04,0.9595350623130798,0.8465982675552368,0.9853352904319763,0.012462137266993523,0.12805227935314178,0.0,0.0
13,0.9946754574775696,0.1968124508857727,0.05974491685628891,1e-04,0.9692413210868835,0.8504020571708679,0.9853352904319763,0.011914946138858795,0.11866999417543411,0.0,0.0
14,0.9949244260787964,0.20377926528453827,0.057544223964214325,1e-04,0.975714921951294,0.8608503341674805,0.9853352904319763,0.011890564113855362,0.11107075959444046,0.0,0.0
15,0.9950381517410278,0.2104697972536087,0.055664513260126114,1e-04,0.9765654802322388,0.868794858455658,0.9853352904319763,0.012582438066601753,0.10511038452386856,0.0,0.0
16,0.9950640797615051,0.2164866030216217,0.05401236563920975,1e-04,0.9758790135383606,0.8746448755264282,0.9855021238327026,0.015232631005346775,0.09989933669567108,1.0,0.012486126273870468
17,0.9951066374778748,0.2218865603208542,0.05242817848920822,1e-04,0.9782509207725525,0.8727670907974243,0.9857380986213684,0.01805683597922325,0.09542293101549149,1.0,0.028856825083494186
18,0.9950592517852783,0.22633406519889832,0.05114840343594551,1e-04,0.9768754839897156,0.8705522418022156,0.9859659671783447,0.02269637957215309,0.09128619730472565,1.0,0.044950056821107864
19,0.9949450492858887,0.2307429313659668,0.05000448599457741,1e-04,0.9720538854598999,0.8650151491165161,0.9863362908363342,0.0306333489716053,0.08660329133272171,1.0,0.07103218883275986
20,0.9949077367782593,0.23533207178115845,0.048749975860118866,1e-04,0.9728057384490967,0.8629207015037537,0.9870890378952026,0.04225325956940651,0.08211524039506912,1.0,0.12624861299991608
21,0.9949533939361572,0.24103209376335144,0.047492895275354385,1e-04,0.9725430011749268,0.8697819113731384,0.9881144165992737,0.06196562945842743,0.07473872601985931,1.0,0.1992230862379074
22,0.9951246380805969,0.24762770533561707,0.04594142735004425,1e-04,0.977208137512207,0.8773652911186218,0.9898030757904053,0.08747969567775726,0.0673554390668869,1.0,0.3163152039051056
23,0.9951839447021484,0.25273606181144714,0.0447036474943161,1e-04,0.980483889579773,0.8780875205993652,0.990466296672821,0.09772668778896332,0.06399758160114288,1.0,0.36182019114494324
24,0.995225191116333,0.2585567235946655,0.04353189095854759,1e-04,0.9812107086181641,0.8787856698036194,0.9912312626838684,0.11207038164138794,0.06040846183896065,0.9993416666984558,0.42119866609573364
25,0.9951654672622681,0.2636220455169678,0.04256352037191391,1e-04,0.978330671787262,0.880398690700531,0.9921305179595947,0.12812550365924835,0.056967299431562424,0.997732400894165,0.48834627866744995
26,0.9950500130653381,0.26678964495658875,0.04189116507768631,1e-04,0.9749341607093811,0.8736338019371033,0.992785632610321,0.14535632729530334,0.05412277206778526,0.9907811880111694,0.5665926933288574
27,0.994985044002533,0.2712860405445099,0.04117446765303612,1e-04,0.9699528813362122,0.8766189813613892,0.9929443597793579,0.15473729372024536,0.053338684141635895,0.9770013093948364,0.6129300594329834
28,0.9948914647102356,0.2734691798686981,0.040584344416856766,1e-04,0.9692695736885071,0.8701911568641663,0.9931925535202026,0.1626620888710022,0.05192616954445839,0.9633529782295227,0.6345726847648621
29,0.9948480129241943,0.277262806892395,0.03992590680718422,1e-04,0.9681011438369751,0.8665318489074707,0.994396984577179,0.1850905418395996,0.04624404013156891,0.9950617551803589,0.6709212064743042
