epoch,acc,iou,loss,lr,precision_3,recall_3,val_acc,val_iou,val_loss,val_precision_3,val_recall_3
0,0.8491647243499756,0.01210099458694458,0.47947195172309875,1e-04,0.021985623985528946,0.23991446197032928,0.9855615496635437,0.0138680599629879,0.4879761338233948,0.0,0.0
1,0.9873090386390686,0.01941581256687641,0.24322432279586792,1e-04,0.5875260829925537,0.16981224715709686,0.9855615496635437,0.016144637018442154,0.40211695432662964,0.0,0.0
2,0.9913642406463623,0.04045451804995537,0.1826297640800476,1e-04,0.7475036382675171,0.6152083873748779,0.9855615496635437,0.011731862090528011,0.1985340416431427,0.0,0.0
3,0.9921953678131104,0.05345906689763069,0.15622347593307495,1e-04,0.7644956111907959,0.6958500146865845,0.9857940673828125,0.01297827623784542,0.16674527525901794,1.0,0.016959387809038162
4,0.9936971068382263,0.06952974200248718,0.12998144328594208,1e-04,0.8199806213378906,0.779342770576477,0.9889432191848755,0.03292343020439148,0.14554113149642944,0.9219858050346375,0.2747722864151001
5,0.994278609752655,0.08024733513593674,0.11348584294319153,1e-04,0.8490211963653564,0.7934339046478271,0.9915865659713745,0.055448468774557114,0.1217120811343193,0.9370690584182739,0.48558199405670166
6,0.9950168132781982,0.09302452206611633,0.09930150955915451,1e-04,0.8829475045204163,0.8190391659736633,0.9942299723625183,0.09147972613573074,0.10106589645147324,0.899127185344696,0.7724322080612183
7,0.9954351782798767,0.10569249838590622,0.08775157481431961,1e-04,0.9013617038726807,0.8351650238037109,0.9944719672203064,0.10879819840192795,0.0887712836265564,0.8874374032020569,0.820492148399353
8,0.9956815838813782,0.11827214807271957,0.07822727411985397,1e-04,0.9136571288108826,0.8439803719520569,0.9945591688156128,0.12173949927091599,0.07894714921712875,0.8918771147727966,0.8210960626602173
9,0.9956998229026794,0.12993945181369781,0.07039467245340347,1e-04,0.9154086709022522,0.84227454662323,0.9950714111328125,0.13737913966178894,0.0697726160287857,0.9087132215499878,0.8365960717201233
10,0.9957563877105713,0.14254185557365417,0.06347495317459106,1e-04,0.9200231432914734,0.8423110842704773,0.9946311116218567,0.15329739451408386,0.0631227120757103,0.8714278340339661,0.8516934514045715
11,0.9959611892700195,0.15735627710819244,0.05703746899962425,1e-04,0.9283613562583923,0.851924479007721,0.9952458143234253,0.1682714968919754,0.05531400069594383,0.9196655750274658,0.8359418511390686
12,0.9962018728256226,0.17381401360034943,0.05122528225183487,1e-04,0.9383559823036194,0.8623481392860413,0.9952567219734192,0.17640580236911774,0.05069297179579735,0.9474160075187683,0.7906497120857239
13,0.9963178634643555,0.19029057025909424,0.04625897482037544,1e-04,0.9433867335319519,0.8672645092010498,0.9952530860900879,0.19081731140613556,0.04638092219829559,0.9451451301574707,0.7881838083267212
14,0.9963404536247253,0.20677345991134644,0.04200048744678497,1e-04,0.9439780116081238,0.8685499429702759,0.9951157569885254,0.19560636579990387,0.04336131736636162,0.9622117280960083,0.7496351599693298
