epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8246652483940125,0.013694089837372303,0.48437950015068054,1e-04,0.015481307171285152,0.16615770757198334,0.9506912231445312,0.01030321978032589,0.6627516150474548,0.011199677363038063,0.03443996235728264
1,0.9347881078720093,0.016048654913902283,0.4136369824409485,1e-04,0.04716792702674866,0.16752099990844727,0.9073638916015625,0.010710902512073517,0.6679051518440247,0.012555803172290325,0.08377288281917572
2,0.9670732021331787,0.01809881255030632,0.36208704113960266,1e-04,0.11956623196601868,0.17466463148593903,0.9344291687011719,0.011004078201949596,0.6398191452026367,0.013999720104038715,0.06205398589372635
3,0.9773752093315125,0.020127516239881516,0.3180813789367676,1e-04,0.22456976771354675,0.17968153953552246,0.9872932434082031,0.0109119126573205,0.5505416393280029,0.00917431153357029,0.0003102699411101639
4,0.9801125526428223,0.02276667393743992,0.2825635075569153,1e-04,0.30095747113227844,0.19625914096832275,0.9876937866210938,0.011112241074442863,0.4933003783226013,0.0,0.0
5,0.9820849299430847,0.02643566019833088,0.2552865445613861,1e-04,0.39670753479003906,0.24179299175739288,0.9877052307128906,0.01134107168763876,0.4429282248020172,0.0,0.0
6,0.9843770861625671,0.03199094161391258,0.2334854155778885,1e-04,0.5264649987220764,0.31892791390419006,0.9877052307128906,0.011623740196228027,0.41219764947891235,0.0,0.0
7,0.9864267706871033,0.03685472905635834,0.21533939242362976,1e-04,0.6510956883430481,0.350774347782135,0.9877052307128906,0.011997240595519543,0.3814162015914917,0.0,0.0
8,0.9879388809204102,0.042700204998254776,0.20027023553848267,1e-04,0.7429580688476562,0.4128040075302124,0.9877052307128906,0.011999649927020073,0.36548852920532227,0.0,0.0
9,0.9884225726127625,0.04708867520093918,0.19109205901622772,1e-04,0.7542361617088318,0.4575471580028534,0.9877052307128906,0.012335065752267838,0.3439157009124756,0.0,0.0
10,0.9893360137939453,0.04763100668787956,0.18262265622615814,1e-04,0.8425230383872986,0.4341258704662323,0.9707832336425781,0.013223567977547646,0.32870927453041077,0.03312673792243004,0.048091839998960495
11,0.990253210067749,0.05143146589398384,0.1757720559835434,1e-04,0.8682178258895874,0.4934562146663666,0.9562492370605469,0.013932416215538979,0.3323906362056732,0.04501066356897354,0.124418243765831
12,0.9918338060379028,0.05830727145075798,0.16915912926197052,1e-04,0.8830974102020264,0.6259406805038452,0.94146728515625,0.01517663523554802,0.336736798286438,0.055509962141513824,0.23084083199501038
13,0.9924750924110413,0.06204532831907272,0.16354268789291382,1e-04,0.8915480375289917,0.6744465231895447,0.9509544372558594,0.015539906919002533,0.32691794633865356,0.07148053497076035,0.24387216567993164
14,0.9928773045539856,0.06537960469722748,0.15790347754955292,1e-04,0.9088588356971741,0.6892518401145935,0.9752426147460938,0.015057560987770557,0.30331695079803467,0.03973885998129845,0.043437790125608444
15,0.9929420948028564,0.06817350536584854,0.15410006046295166,1e-04,0.9059643745422363,0.7053113579750061,0.9869613647460938,0.014928054064512253,0.27170392870903015,0.31198346614837646,0.04685075953602791
16,0.993108868598938,0.06886276602745056,0.1507987529039383,1e-04,0.9225002527236938,0.6945413947105408,0.9894828796386719,0.017427226528525352,0.24862009286880493,0.9586330652236938,0.16537387669086456
17,0.993377685546875,0.07119663059711456,0.14766225218772888,1e-04,0.9285460710525513,0.7125368118286133,0.9899711608886719,0.019311487674713135,0.22899681329727173,0.9407008290290833,0.21656841039657593
18,0.9938250184059143,0.07351330667734146,0.1445576250553131,1e-04,0.9432457685470581,0.7354673147201538,0.99053955078125,0.021924739703536034,0.21281373500823975,0.9508928656578064,0.2643499970436096
19,0.9939554333686829,0.07490968704223633,0.14202289283275604,1e-04,0.946672260761261,0.741520345211029,0.9909248352050781,0.02700771577656269,0.19442473351955414,0.8776807188987732,0.3428482711315155
20,0.9940561652183533,0.07729697972536087,0.1396191269159317,1e-04,0.9415298700332642,0.764832615852356,0.9912605285644531,0.030139394104480743,0.18077735602855682,0.894498884677887,0.36829042434692383
21,0.9942426085472107,0.07963036745786667,0.1374085247516632,1e-04,0.9416034817695618,0.7852001190185547,0.9918251037597656,0.03225701302289963,0.17050710320472717,0.979066014289856,0.37728825211524963
22,0.9943162202835083,0.07997681945562363,0.13524992763996124,1e-04,0.9526934027671814,0.772030770778656,0.9923210144042969,0.03688433766365051,0.16281941533088684,0.9682101011276245,0.43468818068504333
23,0.9943287372589111,0.08120359480381012,0.13329100608825684,1e-04,0.9498466849327087,0.7771567106246948,0.9922294616699219,0.0366501584649086,0.15743841230869293,0.9865269660949707,0.4089357852935791
24,0.9943095445632935,0.08282312005758286,0.13134922087192535,1e-04,0.9433494210243225,0.7881993651390076,0.9928054809570312,0.04641059413552284,0.15096135437488556,0.903209388256073,0.5501086115837097
25,0.9943972826004028,0.08329940587282181,0.12939943373203278,1e-04,0.951887845993042,0.7795015573501587,0.9916648864746094,0.05341143161058426,0.14885351061820984,0.7600291967391968,0.6466025710105896
26,0.9944579005241394,0.08489274233579636,0.12748166918754578,1e-04,0.9520801901817322,0.7849547266960144,0.9931907653808594,0.05639510601758957,0.14337265491485596,0.8515384793281555,0.6869376301765442
27,0.9945118427276611,0.08595329523086548,0.12596867978572845,1e-04,0.9537402987480164,0.7898080348968506,0.9934959411621094,0.05776365473866463,0.13788597285747528,0.8762595653533936,0.6745268106460571
28,0.9944528937339783,0.0875350832939148,0.12413997203111649,1e-04,0.9473616480827332,0.802323043346405,0.9939384460449219,0.05485483258962631,0.13328993320465088,0.9612133502960205,0.5997517704963684
