epoch,acc,iou,loss,lr,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8960602283477783,0.018949659541249275,0.4501363933086395,1e-04,0.041377246379852295,0.20966343581676483,0.8182820677757263,0.013125425204634666,0.6632596850395203,0.045516807585954666,0.5624306201934814
1,0.942895233631134,0.02151292935013771,0.40472209453582764,1e-04,0.09182403236627579,0.23436371982097626,0.9853230714797974,0.013138948008418083,0.6057199835777283,0.0,0.0
2,0.9705907106399536,0.024082975462079048,0.3711269795894623,1e-04,0.2588181793689728,0.3013626039028168,0.9853352904319763,0.013198229484260082,0.5527280569076538,0.0,0.0
3,0.9817022085189819,0.027236592024564743,0.34429314732551575,1e-04,0.5368545651435852,0.4590495526790619,0.9853352904319763,0.013216621242463589,0.509438693523407,0.0,0.0
4,0.9872651696205139,0.03510535508394241,0.32106027007102966,1e-04,0.6961374282836914,0.7462804913520813,0.9853352904319763,0.013206752948462963,0.47322502732276917,0.0,0.0
5,0.9900275468826294,0.04938804730772972,0.29537373781204224,1e-04,0.7590463161468506,0.9105156660079956,0.9853352904319763,0.013128861784934998,0.4420490264892578,0.0,0.0
6,0.9921357035636902,0.055734023451805115,0.27428197860717773,1e-04,0.8373536467552185,0.9092397093772888,0.9853352904319763,0.013114501722157001,0.41452497243881226,0.0,0.0
7,0.9932312369346619,0.05853678658604622,0.2604908049106598,1e-04,0.8867111802101135,0.9018248319625854,0.9853352904319763,0.013208864256739616,0.38957372307777405,0.0,0.0
8,0.9936962723731995,0.06055431067943573,0.25082579255104065,1e-04,0.9088985323905945,0.8994896411895752,0.9853352904319763,0.013316581025719643,0.3690190315246582,0.0,0.0
9,0.9939096570014954,0.06224562227725983,0.24346773326396942,1e-04,0.9195566773414612,0.898791491985321,0.9853352904319763,0.013441287912428379,0.3513031601905823,0.0,0.0
10,0.9941630363464355,0.0635184645652771,0.2373744547367096,1e-04,0.9323466420173645,0.8947951197624207,0.9853352904319763,0.013448825106024742,0.3365689814090729,0.0,0.0
11,0.9943202137947083,0.06459878385066986,0.23208412528038025,1e-04,0.9428804516792297,0.8893784284591675,0.9853352904319763,0.013442311435937881,0.32333341240882874,0.0,0.0
12,0.9942442774772644,0.06570009142160416,0.2275639772415161,1e-04,0.9381789565086365,0.8877894878387451,0.9853352904319763,0.013860011473298073,0.31600335240364075,0.0,0.0
13,0.994191586971283,0.06607478111982346,0.22354525327682495,1e-04,0.9412879943847656,0.8726708292961121,0.9853352904319763,0.015154998749494553,0.3140653371810913,0.0,0.0
14,0.9941428303718567,0.06704548746347427,0.21964840590953827,1e-04,0.9402395486831665,0.8711782097816467,0.9853352904319763,0.014798738993704319,0.3097778260707855,0.0,0.0
15,0.9942907691001892,0.0680813118815422,0.21579857170581818,1e-04,0.9458938241004944,0.8737300634384155,0.9853352904319763,0.013526343740522861,0.29405543208122253,0.0,0.0
16,0.9944910407066345,0.06951854377985,0.21187688410282135,1e-04,0.9521390795707703,0.8845875859260559,0.9853352904319763,0.01300389226526022,0.2817769944667816,0.0,0.0
17,0.9943838715553284,0.07000192254781723,0.20874136686325073,1e-04,0.9507220387458801,0.8764504790306091,0.9853352904319763,0.012426171451807022,0.2697157859802246,0.0,0.0
18,0.9942508339881897,0.07091546803712845,0.20567333698272705,1e-04,0.9442295432090759,0.8755115866661072,0.9853352904319763,0.012049127370119095,0.25834521651268005,0.0,0.0
19,0.9943680763244629,0.07211390882730484,0.20238186419010162,1e-04,0.9463273286819458,0.8799172043800354,0.9853352904319763,0.011772848665714264,0.24878272414207458,0.0,0.0
20,0.994408905506134,0.0726379007101059,0.1991536021232605,1e-04,0.9546525478363037,0.8681688904762268,0.9853352904319763,0.012117247097194195,0.24134951829910278,0.0,0.0
21,0.9946302175521851,0.07417728006839752,0.1956847459077835,1e-04,0.9613508582115173,0.8778708577156067,0.9853800535202026,0.012739709578454494,0.234715536236763,1.0,0.0038845727685838938
22,0.9947285652160645,0.07563909143209457,0.19254057109355927,1e-04,0.96205073595047,0.8886080384254456,0.9857503175735474,0.014648377895355225,0.2276025414466858,1.0,0.029689233750104904
23,0.9947834610939026,0.07657933235168457,0.18960319459438324,1e-04,0.9646304845809937,0.8876932263374329,0.9874227046966553,0.02071581408381462,0.21874022483825684,1.0,0.14539401233196259
24,0.9948318004608154,0.0775197371840477,0.18672014772891998,1e-04,0.9667218923568726,0.8853820562362671,0.9893513917922974,0.02779606729745865,0.21027277410030365,1.0,0.2802441716194153
25,0.9948519468307495,0.07861436158418655,0.18390268087387085,1e-04,0.9675341844558716,0.886056125164032,0.9903930425643921,0.032362617552280426,0.20358632504940033,1.0,0.3529411852359772
26,0.9948782920837402,0.07972687482833862,0.18116395175457,1e-04,0.9679831862449646,0.8879820704460144,0.9911661744117737,0.03607463836669922,0.1978510171175003,1.0,0.40704771876335144
27,0.9948669075965881,0.08074869215488434,0.1785220056772232,1e-04,0.9674332141876221,0.8882228136062622,0.9917358160018921,0.03934389352798462,0.19278186559677124,1.0,0.4497780203819275
28,0.9948778748512268,0.08174098283052444,0.1759301722049713,1e-04,0.9680275321006775,0.8870672583580017,0.9927083253860474,0.04470667615532875,0.18751928210258484,0.9989451766014099,0.5255271792411804
29,0.9949314594268799,0.08266524225473404,0.17338255047798157,1e-04,0.9703928232192993,0.8861042857170105,0.9939046502113342,0.0516425222158432,0.18175499141216278,0.9964554905891418,0.6240288615226746
